Serviço;Cnpj;RazaoSocial;ValorMaximo;Periodicidade
Comum_para débito_saque_consultas;4013172;COOPERATIVA DE CRÉDITO SICOOB 3 COLINAS;20;A cada 180 dias
Comum_para débito_saque_consultas;78825023;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OESTE CATARINENSE;19;A cada 30 dias
Comum_para débito_saque_consultas;81607046;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS;19;A cada 30 dias
Comum_para débito_saque_consultas;24799033;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.;18;A cada 360 dias
Comum_para débito_saque_consultas;11970623;BANCO SENFF S.A.;15,9;A cada 1 dias
Comum_para débito_saque_consultas;10143499;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.;15;A cada 365 dias
Comum_para débito_saque_consultas;17361536;COOPERATIVA DE CRÉDITO DA REGIÃO E COLAR METROPOLITANO DO VALE DO AÇO LTDA. - SICOOB COSMIPA;15;A cada 180 dias
Comum_para débito_saque_consultas;2587492;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS URUBICI - SICOOB CREDIARAUCÁRIA/SC;15;A cada 1 dias
Comum_para débito_saque_consultas;41707258;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTO ANTÔNIO DO MONTE LTDA.   SICOOB CREDIMONTE;15;A cada 30 dias
Comum_para débito_saque_consultas;78825270;COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;15;A cada 360 dias
Comum_para débito_saque_consultas;4649337;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DFMIL LTDA. - SICOOB DFMIL;15;A cada 1 dias
Comum_para débito_saque_consultas;1667352;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SERTÃO DE MINAS GERAIS LTDA. - SICOOB SERTÃO MINAS;15;A cada 30 dias
Comum_para débito_saque_consultas;2173447;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM;15;A cada 30 dias
Comum_para débito_saque_consultas;694877;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO BRASIL CENTRAL LTDA. - SICOOB EXECUTIVO;15;A cada 30 dias
Comum_para débito_saque_consultas;25387671;COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS;15;A cada 180 dias
Comum_para débito_saque_consultas;5861932;COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA;15;A cada 30 dias
Comum_para débito_saque_consultas;86829827;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE - SICOOB CREDIVALE/SC;15;A cada 1 dias
Comum_para débito_saque_consultas;66262643;COOPERATIVA DE CRÉDITO CREDIPEU LTDA.  - SICOOB CREDIPEU;15;A cada 365 dias
Comum_para débito_saque_consultas;429890;COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO;15;A cada 360 dias
Comum_para débito_saque_consultas;8030602;COOPERATIVA DE CRÉDITO MÚTUO DOS CORRETORES DE SEGUROS DO ESTADO DE SÃO PAULO - SICOOB CREDICOR/SP;15;A cada 30 dias
Comum_para débito_saque_consultas;2335109;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA LTDA   SICOOB COOPEMATA;15;A cada 180 dias
Comum_para débito_saque_consultas;16721078;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SECRETARIA DE ESTADO DA FAZENDA  DO ESTADO DE MINAS GERAIS E DE LIVRE ADMISSÃO LTDA - SICOOB COOPSEF;15;A cada 30 dias
Comum_para débito_saque_consultas;2197569;COOPERATIVA DE CRÉDITO CREDSAOPAULO - SICOOB CREDSAOPAULO;15;A cada 365 dias
Comum_para débito_saque_consultas;66463407;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAÚNA E REGIÃO LTDA - SICOOB CENTRO-OESTE;15;A cada 365 dias
Comum_para débito_saque_consultas;2641969;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC;15;A cada 1 dias
Comum_para débito_saque_consultas;360305;CAIXA ECONOMICA FEDERAL;15;A cada 30 dias
Comum_para débito_saque_consultas;14913919;COOPERATIVA DE CREDITO DO MERCADO IMOBILIÁRIO - SICOOB IMOB.VC;14,8;A cada 30 dias
Comum_para débito_saque_consultas;2382755;COOPERATIVA DE CREDITO POTIGUAR - SICOOB POTIGUAR;14,5;A cada 360 dias
Comum_para débito_saque_consultas;2883398;COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E VALE DO ITAPOCÚ - SICOOB MULTICREDI;14,5;A cada 1 dias
Comum_para débito_saque_consultas;60746948;BANCO BRADESCO S.A.;13,4;A cada 90 dias
Comum_para débito_saque_consultas;1330295;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NO ESTADO DO ESPÍRITO SANTO;13;A cada 365 dias
Comum_para débito_saque_consultas;4902979;BANCO DA AMAZONIA S.A.;13;A cada 360 dias
Comum_para débito_saque_consultas;7237373;BANCO DO NORDESTE DO BRASIL S.A.;13;A cada 360 dias
Comum_para débito_saque_consultas;1604998;COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS;12;A cada 360 dias
Comum_para débito_saque_consultas;2493000;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO NOS ESTADOS DE ALAGOAS, SERGIPE E BAHIA - SICOOB LESTE;12;A cada 30 dias
Comum_para débito_saque_consultas;25420696;COOPERATIVA DE CRÉDITO CREDINACIONAL LTDA. - SICOOB CREDINACIONAL;12;A cada 30 dias
Comum_para débito_saque_consultas;5856736;COOPERATIVA DE ECONOMIA E CRÉDITO DE LIVRE ADMISSÃO LTDA. - SICOOB EMPRESARIAL;12;A cada 30 dias
Comum_para débito_saque_consultas;10311218;COOPERATIVA DE CRÉDITO EVOLUA;12;A cada 360 dias
Comum_para débito_saque_consultas;8850613;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CENTRAIS ELÉTRICAS DE SANTA CATARINA - CREDELESC;12;A cada 360 dias
Comum_para débito_saque_consultas;1703620;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO DO CENTRO OESTE DE MINAS LTDA - SICOOB CREDESP;12;A cada 30 dias
Comum_para débito_saque_consultas;5158093;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO LESTE DA BACIA DO RIO DOCE LTDA   SICOOB CREDILESTE;11;A cada 30 dias
Comum_para débito_saque_consultas;1736516;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL E OESTE MINEIRO LTDA. - SICOOB DIVICRED;10,9;A cada 30 dias
Comum_para débito_saque_consultas;3461243;COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP;10,5;A cada 365 dias
Comum_para débito_saque_consultas;208;BRB - BANCO DE BRASILIA S.A.;10,5;A cada 365 dias
Comum_para débito_saque_consultas;24431221;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA TRANSAMAZÔNICA - CRESOL TRANSAMAZÔNICA;10,45;A cada 30 dias
Comum_para débito_saque_consultas;42934794;COOPERATIVA DE CRÉDITO CREDIPIMENTA LTDA. - SICOOB CREDIPIMENTA;10;A cada 30 dias
Comum_para débito_saque_consultas;19449602;COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER;10;A cada 30 dias
Comum_para débito_saque_consultas;20961629;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA VALE S.A LTDA. - SICOOB CREDIVALE;10;A cada 360 dias
Comum_para débito_saque_consultas;26563270;PRIMACREDI COOPERATIVA DE CRÉDITO DE PRIMAVERA DO LESTE;10;A cada 360 dias
Comum_para débito_saque_consultas;71237184;COOPERATIVA DE CRÉDITO CREDIBELO LTDA. - SICOOB CREDIBELO;10;A cada 30 dias
Comum_para débito_saque_consultas;71243034;COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA. - SICOOB CREDIJEQUITINHONHA;10;A cada 30 dias
Comum_para débito_saque_consultas;81292278;COOPERATIVA DE CRÉDITO ORIGINAL - SICOOB ORIGINAL;10;A cada 30 dias
